period_month,ug_name,uol1_name,uol2_name,servicel1_id,servicel1_name,Nº fichas RFO,Nº SN2 con ficha RFO con status OK,Nº SN2 con dependencias Consumer,Nº SN2 del tipo Aplicación no Hijo,Número de features “deployed” válidas,Número de features “deployed”,Valor de cumplimiento de objetivos en Op Model,Servicios N2 con medición en el modelo objetivo del Op Model,Vulnerab. de alto riesgo por cada mil líneas de códgio,Vulnerab. de alto riesgo por cada mil líneas de códgio mes anterior,Variación de la evolución de vulnerabilidades,Nº  de vulnerabilidades “high”,Nº de Lineas de código ,Nº de vulnerabilidades “high” en el mes anterior,Líneas de código en el mes anterior,Fichas RFO con status OK,SN2 con Dependencias asignadas,Calidad de Features,Cumpliminto objetivo adopción del Op. Model, Evolución de vulnerabilidades,Peso - Fichas RFO con status OK,Peso - SN2 con Dependencias asignadas, Peso - Calidad de Features,Peso - Cumpliminto objetivo adopción del Op. Model,Peso -  Evolución de vulnerabilidades,Distribución pesos si no aplica indicador,% Adopción total,Está certificado? (>= 70%),Nivel de Certificación
mar 25,COLOMBIA,SYSTEMS ENGINEERING,RETAIL,4010,FRAUDE,1,1,1,1,0,0,"0,0",0,"0,0000","0,0000","0,0000",0,32.261,0,17.931,"100,00%","100,00%",-,-,"100,00%","0,1300","0,1300",-,-,"0,2700","0,5300",100%,1,Level 3
mar 25,COLOMBIA,SYSTEMS ENGINEERING,RETAIL,4065,CANALES ASISTIDOS IVR/CBs,2,2,2,2,8,8,"1,0",2,"0,0000","0,0000","0,0000",0,140.874,0,134.236,"100,00%","100,00%","100,00%","50,00%","100,00%","0,1300","0,1300","0,2000","0,1350","0,2700","1,0000",87%,1,Level 2
mar 25,COLOMBIA,SYSTEMS ENGINEERING,RETAIL,4066,CANALES ASISTIDOS ATMs/RPA,2,2,1,2,10,10,"1,0",1,"0,0000","0,0000","0,0000",0,12.266,0,12.266,"100,00%","50,00%","100,00%","100,00%","100,00%","0,1300","0,0650","0,2000","0,2700","0,2700","1,0000",94%,1,Level 3
mar 25,COLOMBIA,SYSTEMS ENGINEERING,RETAIL,5088,ANTIFRAUDE,6,6,6,6,7,7,"4,0",4,"0,0246","0,0202","21,3356",77,3.136.291,47,2.322.800,"100,00%","100,00%","100,00%","100,00%","0,00%","0,1300","0,1300","0,2000","0,2700","0,0000","1,0000",73%,1,Level 1
mar 25,COLOMBIA,SYSTEMS ENGINEERING,SALESFORCE,6371,SALESFORCE,6,6,6,6,0,0,"1,0",2,"0,0000","0,0000","0,0000",0,106.550,0,106.541,"100,00%","100,00%",-,"50,00%","100,00%","0,1300","0,1300",-,"0,1350","0,2700","0,8000",83%,1,Level 2
mar 25,COLOMBIA,SYSTEMS ENGINEERING,SEGUROS,4061,SEGUROS SISTEMAS ESPECIALIZADOS,3,3,3,3,0,0,"1,0",2,"0,0000","0,0000","0,0000",0,145.845,0,62.835,"100,00%","100,00%",-,"50,00%","100,00%","0,1300","0,1300",-,"0,1350","0,2700","0,8000",83%,1,Level 2
mar 25,COLOMBIA,SYSTEMS ENGINEERING,SEGUROS,4063,SEGUROS AUTOMATION,7,7,7,7,0,0,"1,0",3,"0,0000","0,0000","0,0000",0,110.292,0,110.085,"100,00%","100,00%",-,"33,33%","100,00%","0,1300","0,1300",-,"0,0900","0,2700","0,8000",78%,1,Level 1
mar 25,COLOMBIA,SYSTEMS ENGINEERING,SEGUROS,6650,SEGUROS PROCESOS,6,6,6,6,0,0,"3,0",4,"0,0000","0,0000","0,0000",0,15.546,0,15.224,"100,00%","100,00%",-,"75,00%","100,00%","0,1300","0,1300",-,"0,2025","0,2700","0,8000",92%,1,Level 3
mar 25,COLOMBIA,SYSTEMS ENGINEERING,SEGUROS,6651,SEGUROS FINANCIERO,4,4,4,4,0,0,"0,0",0,"0,0000","0,0000","0,0000",0,4.772,0,4.772,"100,00%","100,00%",-,-,"100,00%","0,1300","0,1300",-,-,"0,2700","0,5300",100%,1,Level 3
mar 25,COLOMBIA,SYSTEMS ENGINEERING,SEGUROS,6652,BUSINESS CORE,4,3,3,4,0,0,"0,0",3,"0,5632","0,7891","-28,6290",1.044,1.853.770,1.450,1.837.575,"75,00%","75,00%",-,"0,00%","0,00%","0,0975","0,0975",-,"0,0000","0,0000","0,8000",24%,0,Not certified
mar 25,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,260,DIGITAL SIGNING,1,0,1,1,7,7,"1,0",1,"0,0000","0,0000","0,0000",0,26.595,0,35.965,"0,00%","100,00%","100,00%","100,00%","100,00%","0,0000","0,1300","0,2000","0,2700","0,2700","1,0000",87%,1,Level 2
mar 25,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,261,ALERTAS FX,1,1,1,1,0,0,"0,5",1,"0,0000","0,0000","0,0000",0,17.767,0,12.555,"100,00%","100,00%",-,"50,00%","100,00%","0,1300","0,1300",-,"0,1350","0,2700","0,8000",83%,1,Level 2
mar 25,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,4958,FACTORÍA ENTERPRISE CLIENTS AMERICA,0,0,1,1,6,6,"0,5",1,"0,0000","0,0000","0,0000",0,19.198,0,12.270,-,"100,00%","100,00%","50,00%","100,00%",-,"0,1300","0,2000","0,1350","0,2700","0,8700",84%,1,Level 2
mar 25,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,DIGITAL CHANNELS,388,PLATAFORMA SENDA,0,0,2,2,46,46,"0,0",1,"0,0007","0,0007","-7,3568",2,2.918.460,2,2.703.756,-,"100,00%","100,00%","0,00%","100,00%",-,"0,1300","0,2000","0,0000","0,2700","0,8700",69%,0,Not certified
mar 25,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,DIGITAL CHANNELS,389,PLATAFORMA GEMA,0,0,1,1,27,27,"1,0",1,"0,0000","0,0000","0,0000",0,1.393.533,0,1.228.401,-,"100,00%","100,00%","100,00%","100,00%",-,"0,1300","0,2000","0,2700","0,2700","0,8700",100%,1,Level 3
mar 25,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,EMBEDDED FINANCE,390,PLATAFORMA API CHANNEL,0,0,1,1,16,16,"0,0",1,"0,0000","0,0000","0,0000",0,251.144,0,229.117,-,"100,00%","100,00%","0,00%","100,00%",-,"0,1300","0,2000","0,0000","0,2700","0,8700",69%,0,Not certified
mar 25,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,344,PIVOT NET,4,4,4,4,26,27,"2,0",3,"0,1477","0,1104","33,7420",791,5.354.856,370,3.349.969,"100,00%","100,00%","96,30%","66,67%","0,00%","0,1300","0,1300","0,1926","0,1800","0,0000","1,0000",63%,0,Not certified
